,Shop Name,Address 1,Address 2,City,State/Province,Zip/Postcode,Country,Website,Phone,Email,Added,Updated,CBD,Biz Type,MJ,Kratom,Buyer name
,CBD 954,3216 W Broward Blvd,,Fort Lauderdale,FL,33312,US,https://cbd954broward.com/,9545330077,,2018-08-06,9/1/2019,Yes,C,CBD,Yes,
,Cigar Wrapper,2614 N Federal Hwy,,Fort Lauderdale,FL,33306,US,,9545614772,cboxintl@comcast.net,2021-09-23,,,T,,,
,Cloud 84,8620 West St Rd 84,,Fort Lauderdale,FL,33324,US,,9548078312,,2022-03-25,3/25/2022,Yes,S,CBD,Yes,
,Cloud 9Five4,1412 SE 17th St,,Fort Lauderdale,FL,33316,US,https://cloud9five4.square.site/,9549095150,,2021-09-24,9/24/2021,Yes,C,CBD,Yes,
,Diamond CBD,3531 Griffin Rd Ste 100,,Fort Lauderdale,FL,33312,US,https://www.diamondcbd.com/,3056151194,hello@diamondcbd.com,2018-11-08,,Yes,H,CBD,,
,Dirty Penny Hemp Co,1229 E Las Olas Blvd,,Fort Lauderdale,FL,33301,US,https://www.dirtypennyvapeandale.com/,7542006141,info@dirtypennyvapeandale.com,2018-10-22,9/24/2021,Yes,C,CBD,Yes,
,Griffin Vape & Smoke Shop,2900 Griffin Rd,,Fort Lauderdale,FL,33312,US,,7542462191,griffinvapesmokeshop@gmail.com,2021-11-05,11/5/2021,,S,,,
,Half Baked Smoke Shop,1577 S Federal Hwy,,Fort Lauderdale,FL,33316,US,http://www.halfbakedss.com/,9544400343,,2018-08-06,10/29/2018,,S,,,
,Half Baked Smoke Shop,233 Almond Ave,,Fort Lauderdale,FL,33316,US,http://www.halfbakedss.com/,7542064776,customerservice@halfbakedss.com,2018-08-06,9/21/2019,,H,,,
,Holistic Hope,3045 N Federal Hwy Ste 98,,Fort Lauderdale,FL,33306,US,http://www.holistichopefl.com,9544108956,holistichopefl@gmail.com,2018-11-28,,Yes,H,CBD,,
,Honey Pot Smoke Shop,1417 S FL-7 Unit B,,Fort Lauderdale,FL,33317,US,https://hpsmokeshop.com/,9549094777,info@hpsmokeshop.com,2019-10-30,10/30/2019,Yes,H,CBD,,
,JB Smoke Shop,2993 W Commercial Blvd,,Fort Lauderdale,FL,33309,US,https://jbsmokeshop.business.site/,9543066577,,2019-04-02,,Yes,S,CBD,Yes,
,Marleys Smoke Shop And Vape,3057 N Federal Hwy,,Fort Lauderdale,FL,33306,US,https://marleys-smokeshop-vape.business.site/,9549167274,,2018-11-03,,Yes,S,CBD,Yes,
,Peace Pipe,4800 N Dixie Hwy,,Fort Lauderdale,FL,33334,US,,9542679005,peacepipe420@yahoo.com,2018-09-10,5/28/2020,Yes,S,CBD,,
,Puff Puff Pass Smoke & Vape Shop,101 W Sunrise Blvd,,Fort Lauderdale,FL,33311,US,https://www.puffpuffpasssmokeshop.com/,9549907331,waqaskhimani@gmail.com,2018-09-10,11/18/2021,Yes,S,CBD,Yes,
,Shop N Save,909 NE 19th Ave,,Fort Lauderdale,FL,33304,US,,9547645114,,2018-11-19,,,S,,,
,Smoke Valley Smoke Shop,3440 N Ocean Blvd,,Fort Lauderdale,FL,33308,US,https://smokevalleysmokeshop.com/,9549095500,,2021-09-27,,Yes,S,CBD,Yes,
,Smoker's World,2125 Stirling Rd,,Fort Lauderdale,FL,33312,US,https://www.smokersworldhw.com/,9549673113,info@smokersworldhw.com,2018-09-11,9/27/2021,Yes,S,CBD,Yes,
,Smokey News Vape Shop,1311 SE 17th St,,Fort Lauderdale,FL,33316,US,https://smokeynews.com/,9543629421,,2018-10-11,,,V,,,
,Spirit Leaf CBD,2414 E Sunrise Blvd #T21,,Fort Lauderdale,FL,33304,US,https://spiritleafinc.com/,7203643769,spiritleafcbd@gmail.com,2021-01-04,,Yes,C,CBD,,
,Tailored Hemp & Co.,714 NE 13th St Ste C,,Fort Lauderdale,FL,33304,US,https://thetailoredhemp.com/,9547161573,support@thetailoredhemp.com,2020-12-24,,Yes,C,CBD,,
,The Smoke House Smoke,1139 S Federal Hwy,,Fort Lauderdale,FL,33316,US,,9545332826,thesmokehousesmokeshop2@gmail.com,2021-10-04,10/5/2021,Yes,S,CBD,Yes,
,The Smoke House Smoke Shop,1952 E Sunrise Blvd,,Fort Lauderdale,FL,33304,US,,9548355362,smokehousesmokeshop@gmail.com,2018-09-25,,Yes,S,CBD,Yes,
,The Vape & Smoke Store,3001 Griffin Rd,,Fort Lauderdale,FL,33312,US,https://www.vaporstoredirect.com/,3057492676,,2018-09-25,,Yes,V,CBD,,
,Town Smoke Shop,13100 W State Rd 84,,Fort Lauderdale,FL,33325,US,,9547664308,,2022-02-03,2/3/2022,Yes,S,CBD,Yes,
,Town Smoke Shop,4188 Davie Rd,,Fort Lauderdale,FL,33314,US,,9547691524,,2021-09-28,,Yes,S,CBD,,
,Vapes And Smoke,915 NE 62nd St,,Fort Lauderdale,FL,33334,US,,7542064145,cypresscreek18llc@gamil.com,2019-02-09,,,S,,Yes,
,Vapes And Tobacco,4631 NW 31st Ave,3 Lakes Plaza,Fort Lauderdale,FL,33309,US,,5614106530,virtueusainc@gmail.com,2019-03-05,,Yes,S,CBD,Yes,
,Vapor Blade,1013 W FL-84,,Fort Lauderdale,FL,33315,US,http://vaporblade.com/,9543684811,info@vaporblade.com,2018-09-30,,,V,,,
,Vapor Life - Ft Lauderdale,1147 N Federal Highway,,Fort Lauderdale,FL,33304,US,,3862564770,,2018-09-12,,,V,,,
,Vapor Life Dania,3334 Griffin Rd,,Fort Lauderdale,FL,33312,US,,9543624365,,2019-10-10,,,V,,,
,Vapor Shark,6208 N Federal Hwy,,Fort Lauderdale,FL,33308,US,https://www.vaporshark.com/,9542712880,support@vaporshark.com,2018-09-08,3/11/2020,,V,,,
,World of Smoke & Vape - Commercial,1543 E Commercial Blvd,,Fort Lauderdale,FL,33334,US,https://www.worldofsmokenvape.com/,9545337488,sales@worldofvapeandsmoke.com,2018-08-19,2/17/2020,Yes,S,CBD,,
,World of Smoke & Vape - Oakland,1744 E Commercial Blvd,,Fort Lauderdale,FL,33334,US,https://worldofsmokenvape.com/,9543062664,info@worldofsmokenvape.com,2021-09-26,,Yes,S,CBD,Yes,
,World Of Smoke & Vape Fort Lauderdale,1051 SE 17th St,,Fort Lauderdale,FL,33316,US,http://www.worldofsmokenvape.com,9545301132,rachael@worldofsmokenvape.com,2019-07-07,7/7/2019,Yes,S,CBD,Yes,
,"Your CBD Store - Fort Lauderdale, FL",3148 Davie Blvd,,Fort Lauderdale,FL,33312,US,https://cbdrx4u.com/,9545844689,fort.lauderdale@cbdrx4u.com,2019-09-11,9/11/2019,Yes,C,CBD,,
,The Mojo Shop,11394 E Hwy 316,,Fort McCoy,FL,32134,US,,3524109548,,2019-11-01,,Yes,S,CBD,,
,Caloosa Vape,13020 Palm Beach Blvd,,Fort Myers,FL,33905,US,,2392082450,,2018-08-10,2/5/2020,,V,,,
,CBD American Shaman - Fort Myers,16970 Alico Mission Way Ste 303,,Fort Myers,FL,33908,US,,2397718906,cbdasfm@gmail.com,2019-11-12,,Yes,C,CBD,,
,City Vapor Lounge,13101 McGregor Blvd,,Fort Myers,FL,33919,US,https://www.cityvaporandecig.com/,2397918446,cityvaporecig1@gmail.com,2019-08-25,,Yes,V,CBD,,
,Crave Smoke Shop,19100 S Tamiami Trl #105,,Fort Myers,FL,33908,US,,2392196922,,2021-10-07,2/4/2022,Yes,S,CBD,Yes,
,Downtown Vapor,1902 Boy Scout Dr,,Fort Myers,FL,33907,US,https://downtownvapor.com/,2396283232,info@downtownvapor.com,2014-09-16,4/9/2019,,V,,,
,Egyptian Glass Smoke Shop,1904 Boy Scout Dr,,Fort Myers,FL,33907,US,http://egyptian-glass-smoke-shop.business.site/,2392084197,,2018-08-06,9/16/2019,Yes,S,CBD,Yes,
,Fort Myers Best Smoke Shop,16450 San Carlos Blvd #1,,Fort Myers,FL,33908,US,,9495737226,,2018-10-28,10/28/2018,Yes,S,CBD,,
,Hemp Joi of Southwest Florida,9011 Daniels Pkwy #103,,Fort Myers,FL,33912,US,https://www.hempjoi.com/,2396760915,sales@hempjoi.com,2020-07-04,,Yes,C,CBD,,
,High Society Smoke Shop,16450 S Tamiami Trl Ste 6,,Fort Myers,FL,33901,US,http://highsocietysmoke.com,2393621091,highsocietysmokes@gmail.com,2018-12-05,,Yes,S,CBD,Yes,
,Holy Smokes & Vape,8293 Dani Dr #102,,Fort Myers,FL,33966,US,,2392777799,hsmokes8293@gmail.com,2020-01-11,1/11/2020,Yes,S,CBD,Yes,
,Lotus Vape & Smoke Shop - Fort Myers,12995 S Cleveland Ave #138,,Fort Myers,FL,33907,US,http://www.lotussmoke.com/,2392082951,,2019-01-17,1/17/2019,Yes,S,CBD,Yes,
,Marley's Smoke Shop,12377 S Cleveland Ave Ste 1B,,Fort Myers,FL,33907,US,,2392084067,,2018-12-03,,Yes,S,CBD,Yes,
,Mellow Mood,3902 Cleveland Ave N,,Fort Myers,FL,33901,US,,2392260002,mellowmood07@hotmail.com,2019-01-09,,,H,,Yes,
,Modo Vapor,3921 Palm Beach Blvd,,Fort Myers,FL,33916,US,,2397718112,infomodovaporusa@gmail.com,2018-09-10,5/26/2020,,V,,,
,My CBD Health,14048 Palm Beach Blvd,,Fort Myers,FL,33905,US,https://my-cbd-health.org/,2397037931,info@my-cbd-health.org,2019-11-14,11/14/2019,Yes,C,CBD,,
,Naples Vapor,15201 N Cleveland Ave #945,,Fort Myers,FL,33903,US,,2395994151,,2018-09-18,3/2/2021,,V,,,
,Naples Vapor,4460 Cleveland Ave,,Fort Myers,FL,33901,US,,2392887537,,2018-09-18,,,V,,,
,Park Smoke Shop,7460 San Carlos Blvd,,Fort Myers,FL,33967,US,http://park-smoke-shop.business.site/,2392886492,,2020-02-02,,Yes,S,CBD,,
,Purple Ringer,3915 Broadway Ave,,Fort Myers,FL,33901,US,http://purple-ringer-smoke-shop.blogspot.com/,2399367464,,2019-01-03,1/3/2019,Yes,S,CBD,Yes,
,Seed & Bean Market,1520 Broadway Ste 107,,Fort Myers,FL,33901,US,https://seedandbeanmarket.com/,2392438137,info@seedandbeanmarket.com,2019-12-10,12/10/2019,Yes,C,CBD,,
,Smokers Fantasy,5100 S Cleveland Ave #321,,Fort Myers,FL,33907,US,https://www.smokersfantasy.com/,2392886437,smokersfantasyofficial@gmail.com,2018-09-25,,Yes,S,CBD,Yes,
,The King of Vape,16970 S Tamiami Trail Unit 2,,Fort Myers,FL,33908,US,https://thekingofvape.com/,2395908924,tom@thekingofvape.com,2019-08-15,8/15/2019,Yes,V,CBD,,
,The King of Vape,3946 Cleveland Ave,,Fort Myers,FL,33901,US,https://thekingofvape.com/,2396898778,tom@thekingofvape.com,2018-09-25,8/15/2019,Yes,V,CBD,,
,The Treasure Chest,19147 S Tamiami Trl,,Fort Myers,FL,33908,US,http://thetreasurechestfl.com/,2393322232,trose837@comcast.net,2018-10-29,10/29/2018,Yes,S,CBD,,
,The Vape Store,3398 Forum Blvd Unit 109,,Fort Myers,FL,33905,US,https://thevapestoreinc.com/,2393620553,sales@thevapestoreonline.com,2018-09-13,,,V,,,
,The Vape Store,15245 S Tamiami Trl Unit 4,,Fort Myers,FL,33908,US,https://thevapestoreinc.com/,2393623936,sales@thevapestoreonline.com,2018-09-13,,,V,,,
,Vapin by the Beach,16191 San Carlos Blvd Ste 3,,Fort Myers,FL,33908,US,https://vapinbythebeach.com/,2393624619,vapinbythebeach@yahoo.com,2018-09-09,3/20/2020,,V,,,
,Your CBD Store - Fort Myers South,19100 S Tamiami Trail,,Fort Myers,FL,33908,US,https://cbdrx4u.com/find-us/florida/fort-myers-south,2394373988,southfortmyers687@cbdrx4u.com,2021-06-03,,Yes,C,CBD,,
,"Your CBD Store - Fort Myers, FL",4144 Cleveland Ave #2,,Fort Myers,FL,33901,US,https://cbdrx4u.com/,2392372807,fort.lauderdale@cbdrx4u.com,2019-09-11,9/11/2019,Yes,C,CBD,,
,Beach Tobacco & Beer,19041 San Carlos Blvd Ste 7,,Fort Myers Beach,FL,33931,US,,2394635177,,2019-07-22,5/17/2021,Yes,S,CBD,,
,Fort Myers Beach Smoke Shop,1660 Estero Blvd Ste B,,Fort Myers Beach,FL,33931,US,http://www.fortmyersbeachsmokeshop.com/,2392338175,sales@fmbsmokeshop.com,2018-08-06,9/16/2019,Yes,S,CBD,Yes,
,Florida Hemp Collective,203 N 2nd St,,Fort Pierce,FL,34950,US,https://floridahempcollective.com/,7724488453,info@floridahempcollective.com,2021-10-01,,Yes,C,CBD,,
,Peace Pipe,2130 N US-1,,Fort Pierce,FL,34946,US,,7724094987,anmpeacepipe@gmail.com,2022-02-26,2/26/2022,Yes,S,CBD,,
,Vapor Werkz,5202 Okeechobee Rd,,Fort Pierce,FL,34947,US,http://vaporwerkz.mappop.com/,7724662445,vaporwerkzllc@gmail.com,2018-09-03,3/5/2020,Yes,V,CBD,,
,Boardwalk Vapes - FWB,415 Mary Esther Cut Off NW,,Fort Walton Beach,FL,32548,US,http://cbdvapejuice.net/,8502266475,dcpbv850@gmail.com,2019-07-27,,Yes,V,CBD,,
,Cloud City Vaporium,550 Mary Esther Blvd Unit 9,,Fort Walton Beach,FL,32569,US,http://cloudcityvaporium.com/,8505867900,sales@cloudcityvaporium.com,2018-08-06,12/14/2019,Yes,V,CBD,,
,Emerald City VS,229 Racetrack Rd,,Fort Walton Beach,FL,32547,US,https://www.emeraldcityvs.com/,8503743428,,2021-10-16,10/16/2021,Yes,H,CBD,Yes,
,FWB American Shaman,120 Miracle Strip Pkwy SE,,Fort Walton Beach,FL,32548,US,https://cbdamericanshaman.com/,8502188717,info@fwbamericanshaman.com,2019-11-11,6/27/2021,Yes,C,CBD,,
,Harry Headys,180 Miracle Strip Pkwy SE,,Fort Walton Beach,FL,32548,US,http://www.harryheadys.com/,8502432521,harryheadys@live.com,2018-12-03,,,S,,,
,Primo's Vapor Smokes,3 Eglin Pkwy SE,,Fort Walton Beach,FL,32548,US,https://www.primosvaporsmokes.com/,8506597712,primosvaporsmokes@gmail.com,2019-01-03,,Yes,S,CBD,Yes,
,Rollin EZ Tobacco,115 Racetrack Rd NW Ste F,,Fort Walton Beach,FL,32547,US,https://www.rollinez.com/,8503626612,,2020-02-11,,Yes,S,CBD,Yes,
,Vapor Planet,75 Eglin Pkwy Unit 119,,Fort Walton Beach,FL,32548,US,http://www.vaporplanet.com/,8503627150,shannon@vaporplanet.com,2018-09-11,,,V,,,
,"Your CBD Store - Fort Walton Beach, FL",421 Mary Esther Cut Off NW Ste A,,Fort Walton Beach,FL,32548,US,https://cbdrx4u.com/,8508981209,,2019-09-11,9/11/2019,Yes,C,CBD,,
,Smokeys Smoke Shop,6459 County Rd 18 Ste 4,,Fort White,FL,32038,US,https://smokeyssmoke.com/,3864972423,,2021-10-13,,Yes,S,CBD,,
,"Puffin' Vapor, LLC",17656 US-331 S,,Freeport,FL,32439,US,,8508806670,puffinvapor@outlook.com,2018-09-11,5/28/2020,,V,,,
,101 Smoke Shop,3315 SW Archer Rd,,Gainesville,FL,32608,US,,3525050114,,2019-07-12,,,S,,,
,Blu Crystal,1801 NE 23rd Ave Ste D-2,,Gainesville,FL,32609,US,https://theblucrystal.com/,3868530580,garudaflies@gmail.com,2020-06-22,,Yes,C,CBD,,
,Escape 2 Vape,7327 NW 4th Blvd,,Gainesville,FL,32607,US,http://www.escape2vapeshop.com/,3527920591,escape2vapellc@gmail.com,2015-07-12,3/24/2019,Yes,V,CBD,,
,Gator Tobacco,101 SE 2nd Pl Ste 106,,Gainesville,FL,32601,US,,3523747007,,2019-01-19,,,S,,,
,High Tides Tobacco and Gifts,2413 SW 13th St,,Gainesville,FL,32608,US,,3523713357,hightides420@gmail.com,2019-01-02,,Yes,S,CBD,,
,Modern Age Tobacco & Gift Shop,2320 SW 34th St,,Gainesville,FL,32608,US,,3525050573,,2019-08-23,,Yes,S,CBD,,
,Modern Age Tobacco & Gift Shop,1035 NW 76th Blvd,,Gainesville,FL,32606,US,,3523325100,,2018-11-14,,,S,,,
,Modern Age Tobacco & Gift Shop,1122 W University Ave,,Gainesville,FL,32601,US,,3523714733,,2018-09-10,5/2/2019,Yes,S,CBD,,
,Mystic Hookah Cafe & Smoke Shop,1219 W University Ave #10,,Gainesville,FL,32601,US,,3527926059,,2019-01-03,,,S,,,
,New Leaf Vapor Co.,3333 SW Archer Rd Ste 20,,Gainesville,FL,32608,US,https://www.newleafvapor.com/,3526726721,gainesville@newleafvapor.com,2018-09-10,5/27/2020,Yes,V,CBD,,
,"Ovale USA - St Gainesville, FL",3550 SW 34th St,,Gainesville,FL,32608,US,http://www.ovaleusa.com/st-gainesville-fl/,3526726488,support@ovaleusa.com,2020-02-02,,,V,,,
,Smoke City Gainesville,2120 SW 34th St,,Gainesville,FL,32608,US,http://www.mysmokecity.com/,3527926113,,2018-09-11,,Yes,S,CBD,Yes,
,The Glass Factory,6250 NW 23rd St Ste 19,,Gainesville,FL,32653,US,https://theglassfactorystudios.com/home,3527274177,qualityglassgods@gmail.com,2021-10-13,,Yes,H,CBD,,
,The Grab Bag Co,407 NE 23rd Ave,,Gainesville,FL,32609,US,,3526726799,,2018-09-09,3/20/2020,,V,,,
,Vape Dimensions,530 N Main St,,Gainesville,FL,32601,US,https://www.vapedimensions.com/gainesville-store,3525544346,,2021-08-11,8/11/2021,Yes,V,CBD,,
,Wild Side Smoke Shop,1029 W University Ave,,Gainesville,FL,32601,US,,3525545126,,2021-10-19,,Yes,S,CBD,Yes,
,Wild Side Smoke Shop,3312 SW 35th Blvd,,Gainesville,FL,32608,US,,3525544946,,2021-10-14,,Yes,S,CBD,Yes,
,Lil Buddha Vapor & Smoke Shop,6916 Big Bend Rd,,Gibsonton,FL,33534,US,https://lil-buddha-vapor-smoke-shop.business.site/,8135599775,,2019-08-19,,Yes,S,CBD,Yes,
,Johnny Copper Vapor Co,326 Ferris St,,Green Cove Springs,FL,32043,US,http://johnnycopper.org/,9042973717,dan@johnnycopper.org,2018-08-06,12/26/2019,Yes,V,CBD,,
,All About Smoke,3056 S Jog Rd,,Greenacres,FL,33467,US,https://www.allaboutsmoke.com/,5616295755,allaboutsmoke@yahoo.com,2018-09-17,11/11/2018,Yes,S,CBD,,
,Good Clean Vapes,6754 Forest Hill Blvd,,Greenacres,FL,33413,US,http://www.goodcleanvapes.com/,5614298405,,2018-08-06,12/22/2019,Yes,V,CBD,,
,M&D Smoke And Vape,3176 Gulf Breeze Pkwy,,Gulf Breeze,FL,32526,US,,8506778071,,2021-06-17,,,S,,,
,Smokin Lion,3098 Gulf Breeze Pkwy,,Gulf Breeze,FL,32563,US,https://www.smokinlion.com/,8504495949,smokinlion710@gmail.com,2018-11-26,1/5/2021,Yes,S,CBD,Yes,
,Johnny's Smokeshop & Kava Bar,5104 Gulfport Blvd S,,Gulfport,FL,33707,US,https://www.johnnyssmokeshop.com/,7272020728,johnnyssmokeshopfl@gmail.com,2021-10-17,,Yes,V,CBD,Yes,
,Cigarettes Outlet,3315 US Hwy 17-92 W,,Haines City,FL,33844,US,,8634191500,,2019-09-22,,,T,,,
,Vapin Crazy,36166 Us Hwy 27,,Haines City,FL,33844,US,https://vapincrazy.com/,8638662125,tsbsshaw@tampabay.rr.com,2020-12-13,,Yes,V,CBD,Yes,
,Vapor Shark,730 W Hallandale Beach Blvd,,Hallandale,FL,33009,US,https://www.vaporshark.com/,9548570410,info@vaporshark.com,2018-09-08,3/11/2020,,V,,,
,4U20 Smoke shop,401 E Hallandale Beach Blvd,,Hallandale Beach,FL,33009,US,https://www.4u20.com/,3056474626,smoke@4u20.com,2018-07-03,10/12/2018,Yes,S,CBD,Yes,
,Hallandale Smoke Shop,1011 W Hallandale Beach Blvd #105,,Hallandale Beach,FL,33009,US,,7544007003,,2018-08-06,9/22/2019,Yes,S,CBD,Yes,
,Miracle Leaf Health Centers,600 W Hallandale Beach Blvd Ste 5,,Hallandale Beach,FL,33009,US,https://miracleleaffl.com/hallandale/,9545890159,hallandale@miracleleaffl.com,2021-09-24,,Yes,C,CBD,,
,Royal Cigars,501 S Federal Hwy Ste 1405,,Hallandale Beach,FL,33009,US,,8332224279,,2021-09-23,,Yes,T,CBD,,
,Smoke Shop,401 E Hallandale Beach Blvd,,Hallandale Beach,FL,33009,US,,3056474626,,2020-01-29,1/29/2020,Yes,S,CBD,,
,The Lab Smoke Shops,3151 W Hallandale Beach Blvd,,Hallandale Beach,FL,33009,US,https://www.thelabsmokeshops.com/,9549861380,thelabsmokeshops@gmail.com,2021-07-13,,Yes,S,CBD,Yes,
,The Lab Smoke Shops,1080 W Hallandale Beach Blvd,,Hallandale Beach,FL,33009,US,https://www.thelabsmokeshops.com/,9544553100,thelabsmokeshops@gmail.com,2019-05-13,7/7/2021,Yes,S,CBD,Yes,
,Tobacco Town,2500 E Hallandale Beach Blvd,,Hallandale Beach,FL,33009,US,,9544547761,,2021-10-05,,Yes,S,CBD,,
,Vape Central Group,203 NE 1st Ave,,Hallandale Beach,FL,33009,US,https://www.vapecentralgroup.com/,3059068273,support@vapecentralgroup.com,2018-09-16,,,V,,,
,CNR Vapors,2780 N Florida Ave Unit 3,,Hernando,FL,34442,US,http://www.cnr423distribution.com/,3525037939,,2019-08-27,,Yes,V,CBD,,
,305 Smoke Shop,2900 W 12th Ave Unit 11A,,Hialeah,FL,33012,US,https://www.305smokeshop.com/,7863910955,305smokeshop@gmail.com,2021-09-21,,,S,,,
,Cigarette Mart,2319 W 52nd St,,Hialeah,FL,33016,US,,3058210109,,2021-09-23,,,S,,,
,East2West Smoke Shop,1407 W 49th St,,Hialeah,FL,33012,US,https://www.west2eastsmokeshop.com/,3059927262,west2eastco@gmail.com,2019-10-12,10/12/2019,Yes,S,CBD,Yes,
,Happy Times Smoke Shop,2895 W 2nd Ave,,Hialeah,FL,33010,US,http://happytimessmokeshop.business.site/,3054565284,,2019-11-23,,Yes,S,CBD,,
,Havana Smoke and Discount,403 W 29th St,,Hialeah,FL,33012,US,,8645133835,,2018-10-22,2/22/2019,Yes,S,CBD,,
,Headquarters Tobacco & Gift Shop,5381 W 20th Ave,,Hialeah,FL,33012,US,,3058226230,spaceshark1@gmail.com,2019-01-04,,Yes,H,CBD,,
,"Hookah, Tobacco And Son",1110 E 8th Ave 2nd Fl,,Hialeah,FL,33010,US,,3052310095,hookahtobaccoandsun@gmail.com,2018-11-15,6/19/2021,Yes,S,CBD,,
,La Familia Supermarket Vape & Smoke Shop,1505 W Okeechobee Rd,,Hialeah,FL,33010,US,https://lafamiliamvs.com/,3058852134,lafamiliamvs@gmail.com,2018-11-08,,Yes,S,CBD,Yes,
,Lucky's Vape & Smoke Shop,1129 W 68th St,,Hialeah,FL,33014,US,,3058254778,ops2112@gmail.com,2018-12-23,,Yes,S,CBD,,
,Market 49 Vape & Smoke Shop,70 W 49th St,,Hialeah,FL,33012,US,https://hialeahvape.com/,3055588172,market49vs@gmail.com,2020-01-13,,Yes,S,CBD,Yes,
,National Smoke Shop,6905 W 12th Ave #8,,Hialeah,FL,33014,US,https://nationalsmokeshop.com,7865366704,nationaltands@gmail.com,2018-12-15,12/15/2018,,S,,,
,Palm Smoke Shop,907 Palm Ave,,Hialeah,FL,33010,US,https://palmsmoke.com/,3054569270,sales@palmsmoke.com,2021-09-23,,Yes,S,CBD,,
,Rocket Fuel And Smoke Shop,900 E 65th St,,Hialeah,FL,33013,US,,3056881852,,2021-09-27,,Yes,S,CBD,,
,Safe House Smoke Shop,3300 W 84th St Unit 17,,Hialeah,FL,33018,US,http://www.safehousesmokes.com/,7864520123,,2019-08-27,8/27/2019,Yes,S,CBD,,
,Smoke N Toke,18400 NW 75th Pl #123,,Hialeah,FL,33015,US,,9546087143,smokentokelounge@gmail.com,2021-09-27,9/27/2021,,S,,,
,The Tobacco Shop of Hialeah,859 E 41st St,,Hialeah,FL,33013,US,,3059539910,,2021-10-05,,Yes,S,CBD,,
,Universal Tobacco & Discount,380 E 9th St,,Hialeah,FL,33010,US,,3058889007,,2021-09-28,,,S,,,
,Vapor Passion - Hialeah,1165 W 49th St #102,,Hialeah,FL,33012,US,http://eliquidmiami.com/,3053622102,info@vaporpassion.com,2014-08-31,3/24/2019,,V,,,
,Vapor Shark,459 E 49th St,,Hialeah,FL,33013,US,https://www.vaporshark.com/,7866361643,support@vaporshark.com,2018-09-08,3/11/2020,Yes,V,CBD,,
,Vapor Shark,2794 W 68th St Ste 108,,Hialeah,FL,33016,US,https://www.vaporshark.com/,3055030150,info@vaporshark.com,2018-09-08,3/11/2020,Yes,V,CBD,,
,Vapor Shark - Miami Lakes,16764 NW 67th Ave,,Hialeah,FL,33015,US,https://www.vaporshark.com/,3057227492,vaporsharkmiamilakes@gmail.com,2018-09-08,3/11/2020,Yes,V,CBD,,
,West2East Smoke Shop,548 Hialeah Dr,,Hialeah,FL,33010,US,https://www.west2eastsmokeshop.com/,7864065393,west2eastco@gmail.com,2018-12-23,,Yes,S,CBD,,
,Smoke N Toke,11300 NW 87th Ct Ste 108,,Hialeah Gardens,FL,33018,US,,3053360639,smokentokelounge@gmail.com,2020-02-19,7/7/2021,Yes,S,CBD,,
,Fog E Vapor,6210 SE Federal Hwy,,Hobe Sound,FL,33455,US,https://fogevapor.com/,7722498700,,2019-04-15,10/25/2021,Yes,V,CBD,,
,Wordup-Ecig,6062 SE Federal Hwy,,Hobe Sound,FL,33455,US,http://www.wordupecig.com/,7722457730,support@wordupecig.com,2018-08-19,2/17/2020,,V,,,
,eVaporFuel,2715 US-19,,Holiday,FL,34691,US,http://evaporfuel.com/,7279424266,info@evaporfuel.com,2019-10-12,,Yes,V,CBD,,
,Smokin Pipes,1312 US-19,,Holiday,FL,34691,US,http://smokinpipesholiday.com/,7279405398,,2018-10-11,,Yes,S,CBD,Yes,
,Smokin' Body Shop,1700 S Ridgewood Ave Ste C,Riviera Plaza,Holly Hill,FL,32117,US,,3862815342,smokinbodyshop@gmail.com,2019-05-11,,Yes,S,CBD,Yes,
,Area 51 Smoke Shop,128 N Dixie Hwy Hollywood Fl,,Hollywood,FL,33020,US,,9546397961,,2021-09-23,,Yes,S,CBD,Yes,
,Carbon Glass Tech Smoke Shop,5840 Stirling Rd,,Hollywood,FL,33021,US,http://headshophollywoodfl.com/,7544007736,carbonglasstech@gmail.com,2018-08-06,9/1/2019,Yes,S,CBD,Yes,
,City Wide Vape & Smoke Shop,2128 Hollywood Blvd,,Hollywood,FL,33020,US,,9543917216,,2018-10-18,4/5/2019,Yes,S,CBD,,
,Dabfellas Smoke Shop,2832 Stirling Rd Ste M,,Hollywood,FL,33020,US,,9544047786,dabfellassmokesupplies@gmail.com,2021-09-23,,Yes,H,CBD,Yes,
,Diamond Vapor,900 N Federal Hwy Ste 106,,Hollywood,FL,33020,US,https://diamond-vapor.com/,9542990952,diamondvaporbrands@gmail.com,2018-08-06,12/15/2019,,V,,,
,Dr. Stern's CBD,2418 Hollywood Blvd,,Hollywood,FL,33020,US,https://doctorsternscbd.com/,9543676863,sales@doctorsternscbd.com,2020-12-25,,Yes,C,CBD,,
,Electronic Cigarette USA,2832 Stirling Rd,,Hollywood,FL,33020,US,https://www.store.e-cigarette-usa.com/main.sc,8008984157,info@e-cigarette-usa.com,2018-08-06,12/18/2019,,V,,,
,Kushionz Smoke Shop,435 S State Rd 7,,Hollywood,FL,33023,US,,9543676130,kushionzzllc@gmail.com,2018-09-10,11/30/2019,Yes,S,CBD,,
,Sessions Smoke Shop,6101 Johnson St,,Hollywood,FL,33024,US,http://www.sessionssmokeshop.com,9543998558,sessionssmoke@gmail.com,2018-12-22,,Yes,S,CBD,Yes,
